Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	4498297	0.568	0.997	0.724	-
201	4603844	0.328	0.583	0.42	-
201-2	4498201	0.533	0.944	0.681	-
201-4	4535435	0.481	0.853	0.615	-
201-6	4509776	0.436	0.773	0.558	-
201-8	4522162	0.383	0.679	0.49	-
202	4563318	0.32	0.568	0.409	-
202-2	4475925	0.531	0.94	0.679	-
202-4	4521547	0.491	0.87	0.628	-
202-6	4566907	0.429	0.761	0.549	-
202-8	4601081	0.38	0.673	0.486	-
221	4625067	0.563	0.997	0.72	-
222	4649937	0.552	0.999	0.711	-
