Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	11967	0.97	1.0	0.985	-
201	9868	0.91	0.732	0.811	-
201-2	8140	0.968	0.938	0.953	-
201-4	8325	0.967	0.918	0.942	-
201-6	8265	0.928	0.794	0.856	-
201-8	8311	0.915	0.773	0.838	-
202	7607	0.0	0.0	0.0	-
202-2	7474	0.963	0.794	0.87	-
202-4	7652	0.951	0.598	0.734	-
202-6	7577	0.929	0.402	0.561	-
202-8	7252	0.87	0.206	0.333	-
221	7751	0.97	1.0	0.985	-
222	7854	0.98	1.0	0.99	-
223	8269	0.97	1.0	0.985	-
224	6741	0.97	1.0	0.985	-
225	7138	0.97	1.0	0.985	-
228	4502	0.917	1.0	0.957	-
232	6791	0.97	1.0	0.985	-
233	6477	0.917	1.0	0.957	-
236	4172	0.917	1.0	0.957	-
237	6986	0.98	1.0	0.99	-
238	7058	0.97	1.0	0.985	-
239	4634	0.917	1.0	0.957	-
240	4602	0.917	1.0	0.957	-
241	4233	0.917	1.0	0.957	-
246	4457	0.917	1.0	0.957	-
247	4231	0.917	1.0	0.957	-
248	7234	0.0	0.0	0.0	-
248-2	7299	0.963	0.794	0.87	-
248-4	7414	0.951	0.598	0.734	-
248-6	7286	0.929	0.402	0.561	-
248-8	7416	0.87	0.206	0.333	-
249	6314	0.0	0.0	0.0	-
249-2	6728	0.963	0.794	0.87	-
249-4	6457	0.951	0.598	0.734	-
249-6	6401	0.929	0.402	0.561	-
249-8	6705	0.87	0.206	0.333	-
250	4350	0.0	0.0	0.0	-
250-2	4575	0.897	0.788	0.839	-
250-4	4184	0.87	0.606	0.714	-
250-6	4443	0.813	0.394	0.531	-
250-8	4537	0.7	0.212	0.325	-
251	7293	0.0	0.0	0.0	-
251-2	7500	0.974	0.792	0.874	-
251-4	7303	0.967	0.604	0.744	-
251-6	7305	0.95	0.396	0.559	-
251-8	7273	0.909	0.208	0.339	-
252	7667	0.0	0.0	0.0	-
252-2	7658	0.963	0.794	0.87	-
252-4	7916	0.951	0.598	0.734	-
252-6	7548	0.929	0.402	0.561	-
252-8	7701	0.87	0.206	0.333	-
253	6739	0.0	0.0	0.0	-
253-2	6480	0.963	0.794	0.87	-
253-4	6871	0.951	0.598	0.734	-
253-6	6624	0.929	0.402	0.561	-
253-8	6528	0.87	0.206	0.333	-
254	4789	0.0	0.0	0.0	-
254-2	4473	0.897	0.788	0.839	-
254-4	4368	0.87	0.606	0.714	-
254-6	4478	0.813	0.394	0.531	-
254-8	4585	0.7	0.212	0.325	-
257	3764	0.0	0.0	0.0	-
257-2	4011	0.897	0.788	0.839	-
257-4	4259	0.87	0.606	0.714	-
257-6	3901	0.813	0.394	0.531	-
257-8	3842	0.7	0.212	0.325	-
258	6437	0.0	0.0	0.0	-
258-2	7621	0.974	0.792	0.874	-
258-4	6564	0.966	0.594	0.736	-
258-6	6803	0.951	0.406	0.569	-
258-8	6631	0.909	0.208	0.339	-
259	6606	0.0	0.0	0.0	-
259-2	6624	0.963	0.794	0.87	-
259-4	6888	0.951	0.598	0.734	-
259-6	8210	0.929	0.402	0.561	-
259-8	6944	0.87	0.206	0.333	-
260	4170	0.0	0.0	0.0	-
260-2	4516	0.926	0.781	0.847	-
260-4	4278	0.905	0.594	0.717	-
260-6	4257	0.857	0.375	0.522	-
260-8	4197	0.75	0.188	0.301	-
261	4809	0.0	0.0	0.0	-
261-2	4723	0.897	0.788	0.839	-
261-4	4450	0.87	0.606	0.714	-
261-6	6523	0.813	0.394	0.531	-
261-8	4300	0.7	0.212	0.325	-
262	3596	0.0	0.0	0.0	-
262-2	4020	0.897	0.788	0.839	-
262-4	4093	0.87	0.606	0.714	-
262-6	3672	0.813	0.394	0.531	-
262-8	3838	0.7	0.212	0.325	-
265	4171	0.0	0.0	0.0	-
266	4073	0.0	0.0	0.0	-
Global	573567	0.927	0.532	0.676	-
