Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	11878	0.97	1.0	0.985	-
201	10499	0.91	0.732	0.811	-
201-2	7787	0.969	0.979	0.974	-
201-4	7936	0.957	0.907	0.931	-
201-6	7625	0.941	0.825	0.879	-
201-8	7811	0.938	0.784	0.854	-
202	7296	0.0	0.0	0.0	-
202-2	7298	0.963	0.794	0.87	-
202-4	7508	0.951	0.598	0.734	-
202-6	7522	0.929	0.402	0.561	-
202-8	7136	0.87	0.206	0.333	-
221	7584	0.97	1.0	0.985	-
222	7349	0.98	1.0	0.99	-
223	7697	0.97	1.0	0.985	-
224	6839	0.97	1.0	0.985	-
225	6679	0.97	1.0	0.985	-
228	4336	0.917	1.0	0.957	-
232	6964	0.97	1.0	0.985	-
233	5832	0.917	1.0	0.957	-
236	4053	0.917	1.0	0.957	-
237	6308	0.98	1.0	0.99	-
238	6698	0.97	1.0	0.985	-
239	4613	0.917	1.0	0.957	-
240	4739	0.917	1.0	0.957	-
241	4134	0.917	1.0	0.957	-
246	4069	0.917	1.0	0.957	-
247	4071	0.917	1.0	0.957	-
248	7023	0.0	0.0	0.0	-
248-2	6980	0.963	0.794	0.87	-
248-4	6908	0.951	0.598	0.734	-
248-6	7078	0.929	0.402	0.561	-
248-8	6736	0.87	0.206	0.333	-
249	6276	0.0	0.0	0.0	-
249-2	6409	0.963	0.794	0.87	-
249-4	7149	0.951	0.598	0.734	-
249-6	6537	0.929	0.402	0.561	-
249-8	6235	0.87	0.206	0.333	-
250	4207	0.0	0.0	0.0	-
250-2	4335	0.897	0.788	0.839	-
250-4	4140	0.87	0.606	0.714	-
250-6	4098	0.813	0.394	0.531	-
250-8	4423	0.7	0.212	0.325	-
251	7956	0.0	0.0	0.0	-
251-2	7429	0.974	0.792	0.874	-
251-4	7721	0.966	0.594	0.736	-
251-6	7778	0.951	0.406	0.569	-
251-8	7928	0.905	0.198	0.325	-
252	8002	0.0	0.0	0.0	-
252-2	7976	0.963	0.794	0.87	-
252-4	7292	0.951	0.598	0.734	-
252-6	7134	0.929	0.402	0.561	-
252-8	7847	0.87	0.206	0.333	-
253	6649	0.0	0.0	0.0	-
253-2	6112	0.963	0.794	0.87	-
253-4	6184	0.951	0.598	0.734	-
253-6	6292	0.929	0.402	0.561	-
253-8	6283	0.87	0.206	0.333	-
254	4199	0.0	0.0	0.0	-
254-2	4245	0.897	0.788	0.839	-
254-4	4138	0.87	0.606	0.714	-
254-6	4178	0.813	0.394	0.531	-
254-8	4438	0.7	0.212	0.325	-
257	3833	0.0	0.0	0.0	-
257-2	3891	0.897	0.788	0.839	-
257-4	3842	0.87	0.606	0.714	-
257-6	3751	0.813	0.394	0.531	-
257-8	5443	0.7	0.212	0.325	-
258	5770	0.0	0.0	0.0	-
258-2	6749	0.974	0.792	0.874	-
258-4	6067	0.966	0.594	0.736	-
258-6	6109	0.951	0.406	0.569	-
258-8	5724	0.909	0.208	0.339	-
259	6802	0.0	0.0	0.0	-
259-2	6552	0.963	0.794	0.87	-
259-4	6321	0.951	0.598	0.734	-
259-6	6540	0.929	0.402	0.561	-
259-8	6858	0.87	0.206	0.333	-
260	5022	0.0	0.0	0.0	-
260-2	4441	0.929	0.813	0.867	-
260-4	4458	0.909	0.625	0.741	-
260-6	4455	0.857	0.375	0.522	-
260-8	4388	0.778	0.219	0.342	-
261	6539	0.0	0.0	0.0	-
261-2	4798	0.897	0.788	0.839	-
261-4	4816	0.87	0.606	0.714	-
261-6	4721	0.813	0.394	0.531	-
261-8	4569	0.7	0.212	0.325	-
262	3479	0.0	0.0	0.0	-
262-2	3862	0.897	0.788	0.839	-
262-4	3810	0.87	0.606	0.714	-
262-6	3750	0.813	0.394	0.531	-
262-8	3770	0.7	0.212	0.325	-
265	3696	0.0	0.0	0.0	-
266	4124	0.0	0.0	0.0	-
Global	559526	0.927	0.533	0.677	-
