Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	10687	0.97	1.0	0.985	-
201	9420	0.897	0.722	0.8	-
201-2	7235	0.968	0.928	0.948	-
201-4	8357	0.943	0.856	0.897	-
201-6	7468	0.919	0.814	0.863	-
201-8	7589	0.914	0.763	0.832	-
202	7043	0.0	0.0	0.0	-
202-2	6763	0.963	0.794	0.87	-
202-4	6661	0.951	0.598	0.734	-
202-6	7169	0.929	0.402	0.561	-
202-8	6692	0.87	0.206	0.333	-
221	7137	0.97	1.0	0.985	-
222	6989	0.98	1.0	0.99	-
223	7358	0.97	1.0	0.985	-
224	6016	0.97	1.0	0.985	-
225	6389	0.97	1.0	0.985	-
228	5792	0.917	1.0	0.957	-
232	6190	0.97	1.0	0.985	-
233	4134	0.917	1.0	0.957	-
236	3959	0.917	1.0	0.957	-
237	6405	0.98	1.0	0.99	-
238	6581	0.97	1.0	0.985	-
239	4450	0.917	1.0	0.957	-
240	4644	0.917	1.0	0.957	-
241	4128	0.917	1.0	0.957	-
246	3985	0.917	1.0	0.957	-
247	4251	0.917	1.0	0.957	-
248	6986	0.0	0.0	0.0	-
248-2	6755	0.963	0.794	0.87	-
248-4	6937	0.951	0.598	0.734	-
248-6	6859	0.929	0.402	0.561	-
248-8	6671	0.87	0.206	0.333	-
249	6213	0.0	0.0	0.0	-
249-2	6000	0.963	0.794	0.87	-
249-4	6031	0.951	0.598	0.734	-
249-6	5857	0.929	0.402	0.561	-
249-8	6022	0.87	0.206	0.333	-
250	4399	0.0	0.0	0.0	-
250-2	4212	0.897	0.788	0.839	-
250-4	4192	0.87	0.606	0.714	-
250-6	4168	0.813	0.394	0.531	-
250-8	4284	0.7	0.212	0.325	-
251	6527	0.0	0.0	0.0	-
251-2	6752	0.974	0.792	0.874	-
251-4	6655	0.966	0.594	0.736	-
251-6	6879	0.951	0.406	0.569	-
251-8	6867	0.909	0.208	0.339	-
252	6954	0.0	0.0	0.0	-
252-2	7165	0.963	0.794	0.87	-
252-4	7197	0.951	0.598	0.734	-
252-6	7421	0.929	0.402	0.561	-
252-8	7127	0.87	0.206	0.333	-
253	6340	0.0	0.0	0.0	-
253-2	6021	0.963	0.794	0.87	-
253-4	6094	0.951	0.598	0.734	-
253-6	6184	0.929	0.402	0.561	-
253-8	6304	0.87	0.206	0.333	-
254	4288	0.0	0.0	0.0	-
254-2	4279	0.897	0.788	0.839	-
254-4	4227	0.87	0.606	0.714	-
254-6	4359	0.813	0.394	0.531	-
254-8	4326	0.7	0.212	0.325	-
257	3733	0.0	0.0	0.0	-
257-2	4152	0.897	0.788	0.839	-
257-4	3921	0.87	0.606	0.714	-
257-6	3803	0.813	0.394	0.531	-
257-8	5521	0.7	0.212	0.325	-
258	5988	0.0	0.0	0.0	-
258-2	5958	0.974	0.792	0.874	-
258-4	6070	0.966	0.594	0.736	-
258-6	6287	0.951	0.406	0.569	-
258-8	6144	0.909	0.208	0.339	-
259	6200	0.0	0.0	0.0	-
259-2	6345	0.963	0.794	0.87	-
259-4	6191	0.951	0.598	0.734	-
259-6	6421	0.929	0.402	0.561	-
259-8	6340	0.87	0.206	0.333	-
260	3890	0.0	0.0	0.0	-
260-2	4220	0.926	0.781	0.847	-
260-4	4490	0.909	0.625	0.741	-
260-6	4130	0.867	0.406	0.553	-
260-8	3882	0.75	0.188	0.301	-
261	7035	0.0	0.0	0.0	-
261-2	5298	0.897	0.788	0.839	-
261-4	4432	0.87	0.606	0.714	-
261-6	4572	0.813	0.394	0.531	-
261-8	4657	0.7	0.212	0.325	-
262	3732	0.0	0.0	0.0	-
262-2	4125	0.897	0.788	0.839	-
262-4	4260	0.87	0.606	0.714	-
262-6	3819	0.813	0.394	0.531	-
262-8	4014	0.7	0.212	0.325	-
265	3731	0.0	0.0	0.0	-
266	4314	0.0	0.0	0.0	-
Global	538719	0.926	0.531	0.675	-
