Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	4412588	0.569	0.999	0.725	-
201	4534281	0.325	0.577	0.416	-
201-2	4445846	0.535	0.947	0.684	-
201-4	4499775	0.482	0.855	0.616	-
201-6	4502116	0.425	0.753	0.543	-
201-8	4516440	0.384	0.679	0.491	-
202	4545579	0.319	0.565	0.408	-
202-2	4563752	0.531	0.942	0.679	-
202-4	4347514	0.488	0.867	0.624	-
202-6	4354982	0.436	0.773	0.558	-
202-8	4396217	0.376	0.668	0.481	-
221	4321922	0.563	0.997	0.72	-
222	4328329	0.552	1.0	0.711	-
223	4349016	0.564	0.998	0.721	-
