Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	10929	0.97	1.0	0.985	-
201	9583	0.897	0.722	0.8	-
201-2	7609	0.957	0.928	0.942	-
201-4	8012	0.935	0.897	0.916	-
201-6	7645	0.92	0.825	0.87	-
201-8	8036	0.901	0.753	0.82	-
202	7393	0.0	0.0	0.0	-
202-2	7439	0.963	0.794	0.87	-
202-4	7386	0.951	0.598	0.734	-
202-6	7167	0.929	0.402	0.561	-
202-8	7022	0.87	0.206	0.333	-
221	7553	0.97	1.0	0.985	-
222	18180	0.98	1.0	0.99	-
223	7239	0.97	1.0	0.985	-
224	6404	0.97	1.0	0.985	-
225	6386	0.97	1.0	0.985	-
228	4147	0.917	1.0	0.957	-
232	6638	0.97	1.0	0.985	-
233	46016	0.917	1.0	0.957	-
236	4224	0.917	1.0	0.957	-
237	6514	0.98	1.0	0.99	-
238	6756	0.97	1.0	0.985	-
239	4567	0.917	1.0	0.957	-
240	4693	0.917	1.0	0.957	-
241	4319	0.917	1.0	0.957	-
246	3776	0.917	1.0	0.957	-
247	4431	0.917	1.0	0.957	-
248	6626	0.0	0.0	0.0	-
248-2	7451	0.963	0.794	0.87	-
248-4	7045	0.951	0.598	0.734	-
248-6	7210	0.929	0.402	0.561	-
248-8	7137	0.87	0.206	0.333	-
249	6589	0.0	0.0	0.0	-
249-2	6254	0.963	0.794	0.87	-
249-4	6406	0.951	0.598	0.734	-
249-6	6125	0.929	0.402	0.561	-
249-8	6717	0.87	0.206	0.333	-
250	4063	0.0	0.0	0.0	-
250-2	4371	0.897	0.788	0.839	-
250-4	4221	0.87	0.606	0.714	-
250-6	4066	0.813	0.394	0.531	-
250-8	4331	0.7	0.212	0.325	-
251	6830	0.0	0.0	0.0	-
251-2	6959	0.975	0.802	0.88	-
251-4	6918	0.966	0.594	0.736	-
251-6	6796	0.95	0.396	0.559	-
251-8	6954	0.909	0.208	0.339	-
252	7113	0.0	0.0	0.0	-
252-2	7333	0.963	0.794	0.87	-
252-4	7359	0.951	0.598	0.734	-
252-6	7379	0.929	0.402	0.561	-
252-8	7240	0.87	0.206	0.333	-
253	6228	0.0	0.0	0.0	-
253-2	6046	0.963	0.794	0.87	-
253-4	6078	0.951	0.598	0.734	-
253-6	6156	0.929	0.402	0.561	-
253-8	6082	0.87	0.206	0.333	-
254	4228	0.0	0.0	0.0	-
254-2	4435	0.897	0.788	0.839	-
254-4	4172	0.87	0.606	0.714	-
254-6	4103	0.813	0.394	0.531	-
254-8	4207	0.7	0.212	0.325	-
257	3746	0.0	0.0	0.0	-
257-2	3905	0.897	0.788	0.839	-
257-4	3890	0.87	0.606	0.714	-
257-6	4093	0.813	0.394	0.531	-
257-8	3842	0.7	0.212	0.325	-
258	6270	0.0	0.0	0.0	-
258-2	7256	0.975	0.802	0.88	-
258-4	6139	0.967	0.604	0.744	-
258-6	6264	0.95	0.396	0.559	-
258-8	6182	0.905	0.198	0.325	-
259	6472	0.0	0.0	0.0	-
259-2	6493	0.963	0.794	0.87	-
259-4	6042	0.951	0.598	0.734	-
259-6	6313	0.929	0.402	0.561	-
259-8	6326	0.87	0.206	0.333	-
260	4070	0.0	0.0	0.0	-
260-2	4315	0.926	0.781	0.847	-
260-4	4165	0.909	0.625	0.741	-
260-6	4101	0.867	0.406	0.553	-
260-8	4049	0.778	0.219	0.342	-
261	4618	0.0	0.0	0.0	-
261-2	4671	0.897	0.788	0.839	-
261-4	4487	0.87	0.606	0.714	-
261-6	4942	0.813	0.394	0.531	-
261-8	4434	0.7	0.212	0.325	-
262	3706	0.0	0.0	0.0	-
262-2	4278	0.897	0.788	0.839	-
262-4	3926	0.87	0.606	0.714	-
262-6	3867	0.813	0.394	0.531	-
262-8	3788	0.7	0.212	0.325	-
265	3869	0.0	0.0	0.0	-
266	4053	0.0	0.0	0.0	-
Global	595864	0.925	0.532	0.675	-
