Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	4433031	0.568	0.998	0.724	-
201	4641422	0.32	0.568	0.409	-
201-2	4551693	0.529	0.937	0.676	-
201-4	4584252	0.483	0.856	0.618	-
201-6	4594019	0.436	0.772	0.557	-
201-8	4628226	0.389	0.69	0.498	-
202	4633615	0.322	0.57	0.412	-
202-2	4588482	0.53	0.94	0.678	-
202-4	4589639	0.49	0.868	0.626	-
202-6	4633013	0.43	0.762	0.55	-
202-8	4618051	0.385	0.683	0.492	-
221	4627895	0.563	0.997	0.72	-
222	4617730	0.552	0.999	0.711	-
223	4583756	0.563	0.997	0.72	-
