Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	4546636	0.568	0.998	0.724	-
201	4843794	0.313	0.555	0.4	-
201-2	4788307	0.529	0.938	0.676	-
201-4	4396820	0.488	0.864	0.624	-
201-6	4370157	0.431	0.764	0.551	-
201-8	4354563	0.376	0.666	0.481	-
202	4396298	0.318	0.564	0.407	-
202-2	4319167	0.53	0.938	0.677	-
202-4	4348248	0.497	0.881	0.635	-
202-6	4349180	0.437	0.775	0.559	-
202-8	4349177	0.372	0.658	0.475	-
221	4363429	0.564	0.998	0.721	-
222	4281718	0.552	0.999	0.711	-
223	4299897	0.564	0.998	0.721	-
